,date,label
201,2021-04-08,1
202,2021-04-09,0
203,2021-04-10,1
204,2021-04-11,3
205,2021-04-12,0
206,2021-04-13,1
207,2021-04-14,5
208,2021-04-15,5
209,2021-04-16,2
210,2021-04-17,0
211,2021-04-18,1
212,2021-04-19,0
213,2021-04-20,0
214,2021-04-21,0
215,2021-04-22,4
216,2021-04-23,0
217,2021-04-24,0
218,2021-04-25,1
219,2021-04-26,4
220,2021-04-28,2
221,2021-04-29,0
222,2021-04-30,0
223,2021-05-01,3
224,2021-05-02,1
225,2021-05-03,0
226,2021-05-04,0
227,2021-05-05,3
228,2021-05-06,0
229,2021-05-07,0
230,2021-05-08,0
231,2021-05-09,0
232,2021-05-10,0
233,2021-05-11,0
234,2021-05-12,0
235,2021-05-13,0
236,2021-05-14,0
237,2021-05-15,0
238,2021-05-16,0
239,2021-05-17,0
240,2021-05-18,5
241,2021-05-19,0
242,2021-05-20,1
243,2021-05-21,1
244,2021-05-22,0
245,2021-05-23,0
246,2021-05-24,0
247,2021-05-25,0
248,2021-05-26,1
249,2021-05-27,0
250,2021-05-28,0
251,2021-05-29,0
252,2021-05-30,0
253,2021-05-31,0
254,2021-06-01,1
255,2021-06-02,1
256,2021-06-03,0
257,2021-06-04,5
258,2021-06-05,0
259,2021-06-06,0
260,2021-06-07,4
261,2021-06-08,1
262,2021-06-09,0
263,2021-06-10,1
264,2021-06-11,0
265,2021-06-12,0
266,2021-06-13,0
267,2021-06-14,0
268,2021-06-15,5
269,2021-06-16,1
270,2021-06-17,1
271,2021-06-18,1
272,2021-06-19,0
273,2021-06-21,0
274,2021-06-22,4
275,2021-06-23,4
276,2021-06-24,2
277,2021-06-25,5
278,2021-06-26,0
279,2021-06-27,0
280,2021-06-28,3
281,2021-06-29,2
282,2021-06-30,2
283,2021-07-01,4
284,2021-07-02,4
285,2021-07-03,4
286,2021-07-04,4
287,2021-07-05,2
288,2021-07-06,5
289,2021-07-07,3
290,2021-07-08,1
291,2021-07-09,4
292,2021-07-10,0
293,2021-07-11,0
294,2021-07-12,3
295,2021-07-13,5
296,2021-07-14,4
297,2021-07-15,4
298,2021-07-16,4
299,2021-07-17,4
300,2021-07-18,4
301,2021-07-19,4
302,2021-07-20,3
303,2021-07-21,3
304,2021-07-22,4
305,2021-07-23,4
306,2021-07-24,4
307,2021-07-25,4
308,2021-07-26,2
309,2021-07-27,4
310,2021-07-28,1
311,2021-07-29,4
312,2021-07-30,4
313,2021-07-31,4
314,2021-08-01,2
315,2021-08-02,1
316,2021-08-03,0
317,2021-08-04,0
318,2021-08-05,2
319,2021-08-06,2
320,2021-08-07,2
321,2021-08-08,4
322,2021-08-09,4
323,2021-08-10,2
324,2021-08-11,4
325,2021-08-12,4
326,2021-08-13,4
327,2021-08-14,4
328,2021-08-15,4
329,2021-08-16,2
330,2021-08-17,4
331,2021-08-19,5
332,2021-08-21,1
333,2021-08-22,0
334,2021-08-23,0
335,2021-08-24,1
336,2021-08-25,0
337,2021-08-26,5
338,2021-08-27,5
339,2021-08-28,5
340,2021-08-29,1
341,2021-08-30,4
342,2021-08-31,4
343,2021-09-01,4
344,2021-09-02,4
345,2021-09-03,0
346,2021-09-04,5
347,2021-09-05,1
348,2021-09-06,1
349,2021-09-07,0
350,2021-09-08,1
351,2021-09-09,0
352,2021-09-10,1
353,2021-09-11,5
354,2021-09-12,0
355,2021-09-13,0
356,2021-09-14,3
357,2021-09-15,0
358,2021-09-16,5
359,2021-09-17,2
360,2021-09-18,4
361,2021-09-19,2
362,2021-09-20,1
363,2021-09-21,1
364,2021-09-22,5
365,2021-09-23,4
366,2021-09-24,3
367,2021-09-25,4
368,2021-09-27,2
369,2021-09-28,1
370,2021-09-29,5
371,2021-09-30,4
372,2021-10-01,2
373,2021-10-02,1
374,2021-10-03,3
375,2021-10-04,2
376,2021-10-06,1
377,2021-10-07,3
378,2021-10-08,5
379,2021-10-09,1
380,2021-10-10,1
381,2021-10-11,1
382,2021-10-12,2
383,2021-10-13,1
384,2021-10-14,1
385,2021-10-15,1
386,2021-10-16,4
387,2021-10-17,3
388,2021-10-18,1
389,2021-10-19,1
390,2021-10-20,5
391,2021-10-21,1
392,2021-10-22,1
393,2021-10-23,5
394,2021-10-24,5
395,2021-10-25,1
396,2021-10-26,1
397,2021-10-27,1
398,2021-10-28,1
399,2021-10-29,1
400,2021-10-30,1
401,2021-10-31,1
402,2021-11-01,1
403,2021-11-02,1
404,2021-11-03,1
405,2021-11-04,1
406,2021-11-05,5
407,2021-11-06,1
408,2021-11-07,1
409,2021-11-08,1
410,2021-11-09,5
411,2021-11-10,1
412,2021-11-11,1
413,2021-11-12,1
414,2021-11-13,1
415,2021-11-14,1
416,2021-11-15,1
417,2021-11-16,5
418,2021-11-17,4
419,2021-11-18,1
420,2021-11-19,1
421,2021-11-20,5
422,2021-11-21,4
423,2021-11-22,5
424,2021-11-23,4
425,2021-11-24,5
426,2021-11-25,2
427,2021-11-26,1
428,2021-11-27,1
429,2021-11-28,1
430,2021-11-29,1
431,2021-11-30,1
432,2021-12-01,2
433,2021-12-02,1
434,2021-12-03,1
435,2021-12-04,2
436,2021-12-13,1
437,2021-12-14,2
438,2021-12-15,4
439,2021-12-16,1
440,2021-12-17,1
441,2021-12-18,1
442,2021-12-19,1
443,2021-12-20,1
444,2021-12-21,4
445,2021-12-22,3
446,2021-12-23,1
447,2021-12-24,4
448,2021-12-25,4
449,2021-12-26,2
450,2021-12-27,4
451,2021-12-28,4
452,2021-12-29,4
453,2021-12-30,4
454,2021-12-31,4
455,2022-01-01,1
456,2022-01-02,1
457,2022-01-03,5
458,2022-01-04,1
459,2022-01-05,1
460,2022-01-06,1
461,2022-01-07,1
462,2022-01-08,4
